#Provincia;Provincia;#De Casos;Defunciones;Date;Boletines;Recuperados;Dia
32;Santo Domingo;168;6;31/3/2020;Boletin #13;0;13
1;Distrito Nacional;535;11;1/4/2020;Boletin #14;0;14
2;Azua;7;0;1/4/2020;Boletin #14;0;14
3;Bahoruco;0;0;1/4/2020;Boletin #14;0;14
4;Barahona;11;0;1/4/2020;Boletin #14;0;14
5;Dajabon;1;0;1/4/2020;Boletin #14;0;14
6;Duarte;110;24;1/4/2020;Boletin #14;0;14
7;Elias Pina;0;0;1/4/2020;Boletin #14;0;14
8;El Seibo;1;0;1/4/2020;Boletin #14;0;14
9;Espaillat;28;0;1/4/2020;Boletin #14;0;14
10;Independecia;1;0;1/4/2020;Boletin #14;0;14
11;La Altagracia;35;0;1/4/2020;Boletin #14;0;14
12;La Romana;28;1;1/4/2020;Boletin #14;0;14
13;La Vega;88;2;1/4/2020;Boletin #14;0;14
14;Maria Trinidad Sanchez;8;1;1/4/2020;Boletin #14;0;14
15;Monte Cristi;2;0;1/4/2020;Boletin #14;0;14
16;Pedernales;1;0;1/4/2020;Boletin #14;0;14
17;Peravia;4;0;1/4/2020;Boletin #14;0;14
18;Puerto Plata;30;0;1/4/2020;Boletin #14;0;14
19;Hermanas Mirabal;17;0;1/4/2020;Boletin #14;0;14
20;Samana;13;1;1/4/2020;Boletin #14;0;14
21;San Cristobal;21;1;1/4/2020;Boletin #14;0;14
22;San Juan;7;2;1/4/2020;Boletin #14;0;14
23;San Pedro de Macoris;23;3;1/4/2020;Boletin #14;0;14
24;Sanchez Ramirez;17;2;1/4/2020;Boletin #14;0;14
25;Santiago;159;2;1/4/2020;Boletin #14;0;14
26;Santiago Rodriguez;2;0;1/4/2020;Boletin #14;0;14
